item_id,kendall,pearson,spearman,length
line_0,0.333333,0.430820,0.362738,5
line_1,0.666667,0.983739,0.725476,5
line_2,0.308607,0.490098,0.322749,5
line_3,nan,nan,nan,5
line_4,0.166667,0.166667,0.166667,5
line_5,0.824958,0.850066,0.892218,5
line_6,0.666667,0.853533,0.763158,5
line_7,0.925820,0.983415,0.968246,5
line_8,nan,nan,nan,5
line_9,nan,nan,nan,5
line_10,0.666667,0.868599,0.725476,5
line_11,0.755929,0.678256,0.802955,5
line_12,0.000000,-0.055058,-0.026316,5
line_13,0.680414,0.720577,0.740436,5
line_14,0.267261,0.575858,0.353553,5
line_15,0.680414,0.720577,0.740436,5
line_16,-0.267261,-0.485932,-0.353553,5
line_17,0.534522,0.576450,0.530330,5
line_18,0.755929,0.879049,0.802955,5
line_19,0.428571,0.893973,0.500000,5
line_20,-0.251976,-0.262071,-0.344124,5
line_21,nan,nan,nan,5
line_22,0.408248,0.408248,0.408248,5
line_23,1.000000,0.998230,1.000000,5
line_24,0.666667,0.589768,0.725476,5
line_25,1.000000,1.000000,1.000000,5
line_26,0.500000,0.869763,0.666667,5
line_27,0.666667,0.699060,0.763158,5
line_28,0.408248,0.408248,0.408248,5
line_29,-0.333333,-0.301511,-0.362738,5
line_30,-0.176777,0.068041,-0.186339,5
line_31,0.801784,0.747571,0.883883,5
line_32,0.881917,0.990544,0.917663,5
line_33,1.000000,0.935683,1.000000,5
line_34,0.755929,0.958373,0.790569,5
line_35,0.866025,0.745356,0.912871,5
line_36,1.000000,1.000000,1.000000,5
line_37,0.428571,0.652689,0.500000,5
line_38,0.589256,0.808115,0.648886,5
line_39,0.000000,0.039344,0.000000,5
line_40,-0.250000,-0.250000,-0.250000,5
line_41,0.251976,0.253801,0.344124,5
line_42,0.000000,0.263523,0.000000,5
line_43,0.824958,0.768361,0.892218,5
line_44,0.625000,0.726190,0.750000,5
line_45,-0.755929,-0.711636,-0.790569,5
line_46,0.824958,0.859884,0.865181,5
line_47,0.428571,0.613438,0.500000,5
line_48,-0.377964,0.000000,-0.395285,5
line_49,0.571429,0.499941,0.625000,5
line_50,nan,nan,nan,5
line_51,-0.617213,-0.541736,-0.645497,5
line_52,0.707107,0.847579,0.745356,5
line_53,0.267261,0.395896,0.353553,5
line_54,0.471405,0.749813,0.540738,5
line_55,0.272166,0.557543,0.296174,5
line_56,0.133631,0.289886,0.176777,5
line_57,0.176777,0.133631,0.186339,5
line_58,nan,nan,nan,5
line_59,0.666667,0.872167,0.725476,5
line_60,0.707107,0.912871,0.745356,5
line_61,0.666667,0.983739,0.725476,5
line_62,0.625000,0.798596,0.750000,5
line_63,0.251976,-0.048014,0.286770,5
line_64,0.000000,0.259161,0.000000,5
line_65,0.755929,0.844656,0.790569,5
line_66,0.881917,0.964085,0.917663,5
line_67,0.000000,0.409189,0.000000,5
line_68,0.755929,0.668312,0.802955,5
line_69,nan,nan,nan,5
line_70,nan,nan,nan,5
line_71,-0.377964,-0.375000,-0.395285,5
line_72,0.267261,0.666214,0.353553,5
line_73,nan,nan,nan,5
line_74,0.400892,0.443146,0.412479,5
line_75,0.353553,0.510102,0.459627,5
line_76,0.714286,0.801605,0.750000,5
line_77,0.801784,0.961564,0.824958,5
line_78,0.000000,-0.041992,-0.108148,5
line_79,0.333333,0.342997,0.362738,5
line_80,0.617213,0.636479,0.645497,5
line_81,0.251976,0.724947,0.344124,5
line_82,0.714286,0.658808,0.750000,5
line_83,0.881917,0.969643,0.917663,5
line_84,0.408248,0.473665,0.444262,5
line_85,0.816497,0.840168,0.888523,5
line_86,0.925820,0.918559,0.968246,5
line_87,0.666667,0.784465,0.725476,5
line_88,0.444444,0.577656,0.526316,5
line_89,-0.666667,-0.829156,-0.725476,5
line_90,nan,nan,nan,5
line_91,0.666667,0.827738,0.725476,5
line_92,0.125988,0.261128,0.229416,5
line_93,0.589256,0.879924,0.648886,5
line_94,-0.235702,-0.022333,-0.162221,5
line_95,1.000000,1.000000,1.000000,5
line_96,0.666667,0.686406,0.725476,5
line_97,-0.377964,-0.342997,-0.395285,5
line_98,0.353553,0.508873,0.459627,5
line_99,0.222222,0.340096,0.157895,5
line_100,1.000000,1.000000,1.000000,5
line_101,-0.925820,-0.968246,-0.968246,5
line_102,0.125988,0.588720,0.229416,5
line_103,0.755929,0.875000,0.790569,5
line_104,0.666667,0.875977,0.725476,5
line_105,0.447214,0.603748,0.527046,5
line_106,0.235702,0.185450,0.162221,5
line_107,-0.125988,-0.026207,-0.114708,5
line_108,0.836660,0.807947,0.894427,5
line_109,0.801784,0.852183,0.824958,5
line_110,0.251976,0.829818,0.344124,5
line_111,-0.133631,-0.203923,-0.176777,5
line_112,0.530330,0.456435,0.559017,5
line_113,nan,nan,nan,5
line_114,0.000000,0.270281,0.000000,5
line_115,0.629941,0.938874,0.688247,5
line_116,0.755929,0.968246,0.790569,5
line_117,0.755929,0.790569,0.790569,5
line_118,0.125988,0.516794,0.229416,5
line_119,0.250000,0.250000,0.250000,5
line_120,0.125988,-0.043521,0.229416,5
line_121,1.000000,1.000000,1.000000,5
line_122,0.117851,0.092260,0.216295,5
