item_id,kendall,pearson,spearman,length
line_0,0.333333,0.430820,0.362738,5
line_1,0.377964,0.493915,0.395285,5
line_2,nan,nan,nan,5
line_3,nan,nan,nan,5
line_4,nan,nan,nan,5
line_5,nan,nan,nan,5
line_6,nan,nan,nan,5
line_7,0.801784,0.971107,0.883883,5
line_8,nan,nan,nan,5
line_9,nan,nan,nan,5
line_10,0.666667,0.868599,0.725476,5
line_11,0.755929,0.875000,0.790569,5
line_12,nan,nan,nan,5
line_13,nan,nan,nan,5
line_14,0.707107,0.801784,0.745356,5
line_15,0.333333,0.294174,0.362738,5
line_16,0.000000,-0.218218,0.000000,5
line_17,0.755929,0.968246,0.790569,5
line_18,-0.666667,-0.678401,-0.725476,5
line_19,nan,nan,nan,5
line_20,-0.617213,-0.645497,-0.645497,5
line_21,nan,nan,nan,5
line_22,1.000000,1.000000,1.000000,5
line_23,0.377964,-0.000000,0.395285,5
line_24,0.666667,0.589768,0.725476,5
line_25,0.612372,0.612372,0.612372,5
line_26,nan,nan,nan,5
line_27,nan,nan,nan,5
line_28,nan,nan,nan,5
line_29,nan,nan,nan,5
line_30,-0.176777,0.068041,-0.186339,5
line_31,0.801784,0.783818,0.883883,5
line_32,0.755929,0.943242,0.790569,5
line_33,0.666667,0.868599,0.725476,5
line_34,nan,nan,nan,5
line_35,0.534522,0.672977,0.648181,5
line_36,nan,nan,nan,5
line_37,nan,nan,nan,5
line_38,0.707107,0.801784,0.745356,5
line_39,nan,nan,nan,5
line_40,nan,nan,nan,5
line_41,0.666667,0.687500,0.725476,5
line_42,-0.377964,-0.322749,-0.395285,5
line_43,nan,nan,nan,5
line_44,nan,nan,nan,5
line_45,nan,nan,nan,5
line_46,0.251976,0.436942,0.286770,5
line_47,nan,nan,nan,5
line_48,0.925820,0.790569,0.968246,5
line_49,nan,nan,nan,5
line_50,nan,nan,nan,5
line_51,nan,nan,nan,5
line_52,1.000000,1.000000,1.000000,5
line_53,nan,nan,nan,5
line_54,nan,nan,nan,5
line_55,nan,nan,nan,5
line_56,nan,nan,nan,5
line_57,nan,nan,nan,5
line_58,nan,nan,nan,5
line_59,nan,nan,nan,5
line_60,0.707107,0.912871,0.745356,5
line_61,1.000000,1.000000,1.000000,5
line_62,0.176777,0.133631,0.186339,5
line_63,nan,nan,nan,5
line_64,1.000000,1.000000,1.000000,5
line_65,nan,nan,nan,5
line_66,nan,nan,nan,5
line_67,nan,nan,nan,5
line_68,0.000000,-0.102062,0.000000,5
line_69,nan,nan,nan,5
line_70,nan,nan,nan,5
line_71,nan,nan,nan,5
line_72,nan,nan,nan,5
line_73,nan,nan,nan,5
line_74,nan,nan,nan,5
line_75,nan,nan,nan,5
line_76,0.755929,0.790569,0.790569,5
line_77,0.707107,0.952579,0.745356,5
