id,language,problem_id,student_id,expect_grade
1,C++,1_final,SV091214,3.75
2,C++,1_final,SV048930,8.5
3,C++,1_final,SV938171,8.5
4,C++,1_final,SV789466,4.25
5,C++,1_final,SV917268,4.5
6,C++,1_final,SV404141,4.25
7,C++,1_final,SV253821,9
8,C++,1_final,SV289149,6.5
9,C++,1_final,SV964481,9
10,C++,1_final,SV725913,8
11,C++,1_final,SV693942,1.25
12,C++,1_final,SV824562,5.5
13,C++,1_final,SV908429,6.5
14,C++,1_final,SV809501,7.5
15,C++,1_final,SV839361,8.5
16,C++,1_final,SV427986,6.75
17,C++,1_final,SV283490,6.75
18,C++,1_final,SV561193,7.5
19,C++,1_final,SV674178,0
20,C++,1_final,SV811035,4
21,C++,1_final,SV069077,4.25
22,C++,1_final,SV437249,2
23,C++,1_final,SV737914,9
24,C++,1_final,SV553874,7
25,C++,1_final,SV150767,9.5
26,C++,1_final,SV542856,4.25
27,C++,1_final,SV842941,9
28,C++,1_final,SV428903,2
29,C++,1_final,SV586933,9
30,C++,1_final,SV426568,8.5
31,C++,1_final,SV263506,7
32,C++,1_final,SV361371,4.25
33,C++,1_final,SV856404,3.5
34,C++,1_final,SV875127,2.5
35,C++,1_final,SV916730,6.5
36,C++,1_final,SV441835,9
37,C++,1_final,SV695005,4.25
38,C++,1_final,SV815990,2.5
39,C++,1_final,SV057304,4.75
40,C++,1_final,SV745573,7
41,C++,1_final,SV257362,5
42,C++,1_final,SV212636,8
43,C++,1_final,SV303989,2.75
44,C++,1_final,SV913547,6.5
45,C++,1_final,SV178083,3.5
46,C++,1_final,SV564613,3.75
47,C++,1_final,SV388509,4.25
48,C++,48_midterm-123,SV509653,9
49,C++,48_midterm-123,SV445825,9.5
50,C++,48_midterm-123,SV322353,8.5
51,C++,48_midterm-123,SV937764,8.5
52,C++,48_midterm-123,SV961557,7.5
53,C++,48_midterm-123,SV694837,8.5
54,C++,48_midterm-123,SV122212,8.5
55,C++,48_midterm-123,SV197596,8.5
56,C++,48_midterm-123,SV310155,8.5
57,C++,48_midterm-123,SV523278,8.5
58,C++,48_midterm-123,SV449903,9.5
59,C++,48_midterm-123,SV468426,10
60,C++,48_midterm-123,SV462890,5.75
61,C++,48_midterm-123,SV516943,9
62,C++,48_midterm-123,SV165745,9.5
63,C++,48_midterm-123,SV058043,9.5
64,C++,48_midterm-123,SV483937,9
65,C++,48_midterm-123,SV067046,8.5
66,C++,48_midterm-123,SV693630,8.5
67,C++,48_midterm-123,SV839208,8.5
68,C++,48_midterm-123,SV730025,8.5
69,C++,48_midterm-123,SV098366,9.5
70,C++,48_midterm-123,SV108057,6.75
71,C++,48_midterm-123,SV862804,8.5
72,C++,48_midterm-123,SV081263,6.25
73,C++,48_midterm-123,SV593629,10
74,C++,48_midterm-123,SV028795,8.5
75,C++,48_midterm-123,SV012530,8
76,C++,48_midterm-123,SV733545,8
77,C++,48_midterm-123,SV984915,7.5
78,C++,48_midterm-123,SV610374,8.5
79,C++,48_midterm-123,SV347618,10
80,C++,48_midterm-123,SV539058,8
81,C++,48_midterm-123,SV433482,8
82,C++,48_midterm-123,SV076840,9.5
83,C++,48_midterm-123,SV900401,5.4
84,C++,48_midterm-123,SV344600,7
85,C++,48_midterm-123,SV983530,9
86,C++,48_midterm-123,SV725080,6.75
87,C++,48_midterm-123,SV894026,9.5
88,C++,48_midterm-123,SV698045,7.9
89,C++,48_midterm-123,SV248468,8.5
90,C++,48_midterm-123,SV657991,6
91,C++,48_midterm-123,SV317399,8.5
92,C++,48_midterm-123,SV576620,9
93,C++,48_midterm-123,SV307451,7
94,C++,48_midterm-123,SV075501,7.4
95,C++,48_midterm-123,SV729925,9
96,C++,96_final-123,SV445825,8.5
97,C++,96_final-123,SV457696,8
98,C++,96_final-123,SV322353,7
99,C++,96_final-123,SV937764,9.5
100,C++,96_final-123,SV961557,8.5
101,C++,96_final-123,SV694837,5.5
102,C++,96_final-123,SV122212,8.5
103,C++,96_final-123,SV197596,8
104,C++,96_final-123,SV310155,8
105,C++,96_final-123,SV523278,4.25
106,C++,96_final-123,SV449903,3.25
107,C++,96_final-123,SV468426,7.25
108,C++,96_final-123,SV462890,4.25
109,C++,96_final-123,SV516943,4.25
110,C++,96_final-123,SV058043,2.5
111,C++,96_final-123,SV483937,8
112,C++,96_final-123,SV067046,10
113,C++,96_final-123,SV693630,5.25
114,C++,96_final-123,SV839208,4.5
115,C++,96_final-123,SV730025,5.5
116,C++,96_final-123,SV098366,7.45
117,C++,96_final-123,SV108057,3.75
118,C++,96_final-123,SV862804,2.75
119,C++,96_final-123,SV081263,5
120,C++,96_final-123,SV593629,3.5
121,C++,96_final-123,SV028795,3.25
122,C++,96_final-123,SV012530,4
123,C++,96_final-123,SV733545,4.75
124,C++,96_final-123,SV984915,5
125,C++,96_final-123,SV610374,5.5
126,C++,96_final-123,SV242100,2
127,C++,96_final-123,SV347618,3
128,C++,96_final-123,SV539058,3.5
129,C++,96_final-123,SV433482,2
130,C++,96_final-123,SV076840,6.25
131,C++,96_final-123,SV900401,1.25
132,C++,96_final-123,SV344600,5
133,C++,96_final-123,SV983530,2
134,C++,96_final-123,SV725080,3.5
135,C++,96_final-123,SV894026,3.25
136,C++,96_final-123,SV698045,1.5
137,C++,96_final-123,SV248468,5
138,C++,96_final-123,SV317399,4.25
139,C++,96_final-123,SV576620,7
140,C++,96_final-123,SV307451,6.25
141,C++,96_final-123,SV075501,7
142,C++,96_final-123,SV729925,4
